states,scores
2021120010000100000000000,"[-1, -1, -1, 0.04643, -1]"
2021120010100100002000000,"[0.0257, 0, 0, 0, 0]"
2021120011100102002000000,"[0.01994, 0, 0, 0, 0]"
2021120111100102002000020,"[0.01785, 0, 0, 0, 0]"
2121120111100102002020020,"[0, 0.02618, -1, 0, -1]"
2121122111101102002020020,"[0, 0.01785, 0, 0, 0]"
0000100000000000000000000,"[0.18551, 0, 0, 0, 0]"
2101120000000000000000000,"[-1, -1, 0.07281, -1, -1]"
2201021010110102002020010,"[0, -0.06248, -0.0479, 0, -0.04838]"
2201021010110102202021010,"[0, 0, -0.2401, 0, -0.14879]"
2221021110110102202021010,"[0, 0, 0.2816, 0, -1]"
2221021110112102212021010,"[0, 0, 0.0475, 0, -1]"
2221121110112102212021210,"[0, 0, 0, 0, 0.02523]"
2221121112112112212021210,"[0, 0, 0, 0, 0.01785]"
2121122010210001100020000,"[0, -1, -1, -1, -1]"
2121122010210101100022000,"[0, 0, -1, 0, 0]"
0121000000000000000000000,"[0.20257, 0, 0, 0, 0]"
2121000010000000000000000,"[0.19651, 0, 0, 0, 0]"
2121200010000100000000000,"[-1, -1, -1, 0.03637, 0]"
2121220011000100000000000,"[-1, 0, 0, 0, 0]"
2121221011200100000000000,"[0, 0, 0, 0, -1]"
2121021210101102000020000,"[0, -1, -1, -1, -1]"
0011000020000000000000000,"[0.04664, 0, 0, 0, 0]"
0111000020000200000000000,"[-1, -1, -1, 0, 0]"
2211220110000100000000000,"[-1, 0, 0, 0, 0]"
2211221110200100000000000,"[1, 0, 0, 0, 0]"
0101200012000000000000000,"[0, 0, 0, 0, 0]"
2101200012000010000000000,"[0.0119, 0, 0, 0, 0]"
2101220012000110000000000,"[-1, 0, 0, 0, 0]"
2101122010120002000010000,"[0, 0, 0.03103, 0, 0]"
0201100000000000000000000,"[0.11037, 0, 0, 0, 0]"
0201101020000000000000000,"[0.01726, 0, 0, 0, 0]"
2201111020000000000000000,"[0.01785, 0, 0, 0, 0]"
2201111021200000000000000,"[0.0119, 0, 0, 0, 0]"
2201111021210002000000000,"[0.0119, 0, 0, 0, 0]"
2211111021210002000020000,"[0, 0.0119, 0, 0, 0]"
2211111021210102200020000,"[0, 0.0119, 0, 0, 0]"
2211111021210102201022000,"[0, 0, 0, 0, 0]"
